AA Milne
AJ Foyt
Aaron Burr
Aaron Copland
Aaron Eckhart
Aaron Neville
Aaron Paul
Aaron Spelling
Aaron TaylorJohnson
Abbie Cornish
Abbie Hoffman
Abby Elliott
Abe Vigoda
Abigail Adams
Abigail Breslin
Abigail Van Buren
Abner Doubleday
Abraham Lincoln
Abraham Maslow
Ace Frehley
Adam Arkin
Adam Brody
Adam Carolla
Adam Driver
Adam Duritz
Adam Sandler
Adam West
Adam Yauch
Adele
Adelle Davis
Adolf Hitler
Adrian Paul
Adriana Barraza
Adrianne Palicki
Adrien Brody
Adrienne Barbeau
Aga Khan IV
Agatha Christie
Agnelina Jolie
Agnes Moorehead
Aida Turturro
Aidan Quinn
Aisha Tyler
Akira Kurosawa
Al Capone
Al Capp
Al Gore
Al Green
Al Hirschfeld
Al Hirt
Al Jarreau
Al Jolson
Al Kaline
Al Michaels
Al Pacino
Al Roker
Al Unser
Al Yankovic
Al Yankovick
Alain Prost
Alan Alda
Alan Arkin
Alan Autry
Alan Bates
Alan Beckwith
Alan Greenspan
Alan Jackson
Alan Jay Lerner
Alan King
Alan Ladd
Alan Rickman
Alan Ruck
Alan Shepard
Alan Thicke
Alan Trammell
Alan Turing
Albert Brooks
Albert Einstein
Albert Finney
Albert King
Albert Pujols
Albert Schweitzer
Alberto Santos Dumont
Alberto SantosDumont
Aldous Huxley
Alec Baldwin
Alec Guinness
Aleksandr Solzhenitsyn
Alessandro Volta
Alex Baldwin
Alex Haley
Alex Harvey
Alex Karras
Alex Lifeson
Alex Pettyfer
Alex Rodriguez
Alex Trebek
Alexa Vega
Alexander Calder
Alexander Godunov
Alexander Graham Bell
Alexander Hamilton
Alexander Skarsgard
Alexander the Great
Alexandra Daddario
Alexandre Dumas
Alexandre Tansman
Alexis Bledel
Alexis Thorpe
Alf
Alfonso Ribeiro
Alfred Hitchcock
Alfred Kinsey
Alfred Molina
Alfred Nobel
Alger Hiss
Ali MacGraw
Alice Cooper
Alice Eve
Alice Faye
Alice Walker
Alicia Keys
Alicia Silverstone
Alicia Vikander
Alistair Cooke
Allen Funt
Allen Ginsberg
Allen Greenspan
Allen Iverson
Allen Ludden
Allison Janney
Ally Sheedy
Alvin Ailey
Alvin Lee
Alvin Toffler
Alyson Stoner
Amadeus Mozart
Amanda Bynes
Amanda Peet
Amanda Seyfried
Amanda Tapping
Amber Heard
Ambrose Bierce
Amedeo Avogadro
Amelia Earhart
America Ferrera
Amerigo Vespucci
Amy Adams
Amy Brenneman
Amy Grant
Amy Irving
Amy Jo Johnson
Amy Locane
Amy Lowell
Amy Poehler
Amy Ryan
Amy Smart
Amy Winehouse
Andie Macdowell
Andre Agasi
Andre Agassi
Andre Michelin
Andre Previn
Andre the Giant
Andrea Bocelli
Andrea Dromm
Andrea Riseborough
Andres Segovia
Andrew Garfield
Andrew Greeley
Andrew Jackson
Andrew Johnson
Andrew Lincoln
Andrew Lloyd Webber
Andrew Shue
Andrew Wyeth
Andrew Young
Andy Devine
Andy Garcia
Andy Gibb
Andy Griffith
Andy Kaufman
Andy Roddick
Andy Rooney
Andy Samberg
Andy Serkis
Andy Summers
Andy Warhol
Andy Williams
Angela Bassett
Angela Cartwright
Angela Davis
Angela Lansbury
Angelina Jolie
Angie Dickinson
Anika Noni Rose
Anita Bryant
Anita Ekberg
Anita ODay
Anjelica Huston
Ann B Davis
Ann Blyth
Ann Jillian
Ann Landers
Ann Margret
Ann Miller
Ann Sothern
Anna Faris
Anna Friel
Anna Kendrick
Anna Magnani
Anna Nicole Smith
Anna Paquin
AnnaSophia Robb
Anne Bancroft
Anne Baxter
Anne Bronte
Anne Frank
Anne Hathaway
Anne Jeffreys
Anne McCaffrey
Anne Meara
Anne Murray
Anne Rice
Anne Robinson
Annette Bening
Annette Funicello
Annie Duke
Annie Leibovitz
Annie Lennox
Annie Oakley
Ansel Adams
Anthony Burgess
Anthony Franciosa
Anthony Geary
Anthony Glise
Anthony Hopkins
Anthony Mackie
Anthony Newley
Anthony Perkins
Anthony Quinn
Anthony Trollope
Anthony Zerbe
Anton Chekhov
Antonio Banderas
Antonio Villaraigosa
Antonio Vivaldi
Anwar Sadat
Archie Moore
Aretha Franklin
Ari Meyers
Ariel Sharon
Arion Salazar
Aristotle
Aristotle Onassis
Arlene Dahl
Armin MuellerStahl
Army Archerd
Arnold Palmer
Arnold Schwartineger
Arnold Schwarzenegger
Arnold Stang
Arsenio Hall
Art Alexakis
Art Bell
Art Blakey
Art Buchwald
Art Carney
Art Garfunkel
Art Linkletter
Arte Johnson
Arthur Ashe
Arthur C Clarke
Arthur Fiedler
Arthur Godfrey
Arthur Kennedy
Arthur Miller
Arthur Murray
Arthur Penn
Arthur Rimbaud
Arthur Rubenstein
Arthur Sullivan
Arthur Treacher
Artie Shaw
Arturo Toscanini
Arye Gross
Ashley Angel
Ashley Judd
Ashley Olsen
Ashley Simpson
Ashley Tisdale
Ashton Kutcher
Astrud Gilberto
Attenborough
Aubrey Beardsley
Audie Murphy
Audrey Hepburn
Audrey Meadows
Audrey Tautou
Audrina Patridge
August Anheuser Busch
Auguste Rodin
Augustus Caesar
Austin Peck
Ava Gardner
Avery Schreiber
Avril Lavigne
Axl Rose
Ayn Rand
Ayrton Senna Da Silva
B F Skinner
BB King
BF Skinner
Babe Ruth
Bach
Barack Obama
Barbara Bach
Barbara Bush
Barbara Carrera
Barbara Eden
Barbara Feldon
Barbara Harris
Barbara Hershey
Barbara Hutton
Barbara Jordan
Barbara Mandrell
Barbara Stanwyck
Barbara Streisand
Barbara Walters
Barbra Streisand
Barney the Dinosaur
Barry Bonds
Barry Fitzgerald
Barry Gibb
Barry Goldwater
Barry Manilow
Barry Nelson
Barry Pepper
Barry Sanders
Barry Van Dyke
Barry White
Bart Simpson
Bat Man
Bat Masterson
Batman
Bear Bryant
Bear Grylls
Beatrice Arthur
Beatrice Straight
Beatrix Potter
Beau Bridges
Bebe Neuwirth
Beck
Beck Hansen
Bedrich Smetana
Beethoven
Bela Karolyi
Bela Lugosi
Ben Affleck
Ben Blue
Ben Bradlee
Ben Crenshaw
Ben Foster
Ben Franklin
Ben Gazzara
Ben Hogan
Ben Johnson
Ben Kingsley
Ben Stiller
Ben Vereen
Benedict Arnold
Benedict Cumberbatch
Benicio Del Toro
Benito Mussolini
Benjamin Bratt
Benjamin Britten
Benjamin Franklin
Benjamin Harrison
Benjamin Spock
Benny Andersson
Benny Goodman
Benny Hill
Berenice Bejo
Bernadette Peters
Bernard Madoff
Bernie Mac
Berry Gordy
Bert Convy
Bert Lahr
Bert Parks
Bertolt Brecht
Bertrand Russell
Bess Myerson
Bess Truman
Bessie Smith
Betsy Ross
Bette Davis
Bette Midler
Betty Ford
Betty Friedan
Betty Grable
Betty Hutton
Betty Thomas
Betty White
Beverly Sills
Beyonce
Beyonce Knowles
Bianca Jagger
Bibi Andersson
Big Bird
Big Bopper
Bill Berry
Bill Bixby
Bill Bradley
Bill CW McCall Fries
Bill Clinton
Bill Cosby
Bill Cullen
Bill Engvall
Bill Gates
Bill Hader
Bill Haley
Bill Hickok
Bill Hicks
Bill Maher
Bill Mauldin
Bill Medley
Bill Moyers
Bill Mumy
Bill Murray
Bill Paxton
Bill Pullman
Bill Russell
Billie Burke
Billie Holiday
Billie Jean King
Billie Joe Armstrong
Billy Barty
Billy Bob Thornton
Billy Burke
Billy Corgan
Billy Crudup
Billy Crystal
Billy Dee Williams
Billy Eckstine
Billy Gibbons
Billy Graham
Billy Idol
Billy Joel
Billy Mitchell
Billy Preston
Billy Ray Cyrus
Billy Wilder
Billy Zane
Billy the Kid
Bing Crosby
Bipasha Basu
Bishop Desmond Tutu
Bix Beiderbecke
Bjork
Blaise Pascal
Blake Edwards
Blake Lively
Bo Derek
Bo Diddley
Bo Jackson
Bo Schembechler
Bob Barker
Bob Captain Kangaroo Keeshan
Bob Costas
Bob Crane
Bob Denver
Bob Dole
Bob Dorough
Bob Dylan
Bob Edwards
Bob Eubanks
Bob Fosse
Bob Geldof
Bob Greene
Bob Guccione
Bob Hope
Bob Hoskins
Bob Marley
Bob Monkhouse
Bob Newhart
Bob Saget
Bob Schieffer
Bob Segar
Bob Seger
Bob Uecker
Bob Weir
Bob Wian
Bob Woodward
Bobbie Gentry
Bobby Darin
Bobby Fischer
Bobby Flay
Bobby Goldsboro
Bobby Hatfield
Bobby Hull
Bobby Knight
Bobby Orr
Bobby Rydell
Bobby Sherman
Bobby Unser
Bobby Vinton
Bonnie Bedelia
Bonnie Blair
Bonnie Franklin
Bonnie Hunt
Bonnie Parker
Bono
Booker T
Booker T Washington
Boone
Borat
Boris Karloff
Boris Pasternak
Boris Spassky
Boris Yeltsin
Bow Wow
Boy George
Brad Dourif
Brad Garrett
Brad Nowell
Brad Pitt
Bradley Cooper
Bradley McIntosh
Bram Stoker
Branagh
Brandon Lee
Brandon Routh
