Addie Joss
Al Kaline
Al Simmons
Babe Ruth
Barry Bonds
Bill Dickey
Bill Terry
Bob Feller
Bob Gibson
Brooks Robinson
Cal Ripken Jr
Carl Hubbell
Carl Yastrzemski
Carlton Fisk
Charlie Gehringer
Christy Mathewson
Cy Young
Dennis Eckersley
Dizzy Dean
Duke Snider
Ed Walsh
Eddie Collins
Eddie Mathews
Eddie Murray
Eddie Plank
Ernie Banks
Fergie Jenkins
Frank Robinson
Frankie Frisch
George Brett
George Sisler
Greg Maddux
Grover Alexander
Hank Aaron
Hank Greenberg
Harmon Killebrew
Harry Heilmann
Honus Wagner
Hoyt Wilhelm
Jackie Robinson
Jim Palmer
Jimmie Foxx
Joe Cronin
Joe DiMaggio
Joe Jackson
Joe Medwick
Joe Morgan
Johnny Bench
Johnny Mize
Juan Marichal
Ken Griffey Jr
Kirby Puckett
Lefty Grove
Lou Brock
Lou Gehrig
Luis Aparicio
Luke Appling
Mark McGwire
Mel Ott
Mickey Cochrane
Mickey Mantle
Mike Schmidt
Mordecai Brown
Nap Lajoie
Nolan Ryan
Ozzie Smith
Paul Molitor
Paul Waner
Pete Rose
Pie Traynor
Ralph Kiner
Reggie Jackson
Rickey Henderson
Roberto Clemente
Robin Roberts
Robin Yount
Rod Carew
Roger Clemens
Rogers Hornsby
Rollie Fingers
Roy Campanella
Rube Waddell
Ryne Sandberg
Sam Crawford
Sandy Koufax
Stan Musial
Steve Carlton
Ted Williams
Tom Seaver
Tony Gwynn
Tris Speaker
Ty Cobb
Wade Boggs
Walter Johnson
Warren Spahn
Whitey Ford
Willie Mays
Willie McCovey
Willie Stargell
Yogi Berra
