Aaron Pryor
Abe Attell
Ad Wolgast
Andre Ward
Archie Moore
Bagrat Oghanian
Barney Ross
Beau Jack
Benny Leonard
Bernard Hopkins
Billy Conn
Bob Fitzsimmons
Bob Foster
Bob Montgomery
Bobo Olson
Bud Taylor
Buster Douglas
Carmen Basilio
Chalky Wright
Diego Corrales
Earnie Shavers
Emile Griffith
Emmanuel Agassi
Fernando Vargas
Fireman Jim Flynn
Floyd Mayweather
Frankie Genaro
Freddie Miller
Freddie Pendleton
Freddie Steele
Freddie Welsh
Fritzie Zivic
Gene Fullmer
George Chip
Gerry Cooney
Greg Haugen
Harry Greb
Hasim Rahman
Ike Williams
Jack Blackburn
Jack Britton
Jake LaMotta
James J Braddock
James J Corbett
James J Jeffries
James Toney
Jermain Taylor
Jersey Joe Walcott
Jess Willard
Jimmy Bivins
Joe Brown
Joe Gans
Joe Jeanette
Joey Giardello
John L Sullivan
Johnny Coulon
Johnny Dundee
Kelly Pavlik
Ken Norton
Kid McCoy
Leon Spinks
Lew Tendler
Lou Ambers
Manuel Ortiz
Mayweather
Meldrick Taylor
Michael Moorer
Michael Spinks
Mickey Rourke
Mickey Walker
Micky Ward
Mike Gibbons
Nonito Donaire
Nonpareil Dempsey
Oliver McCall
Packey McFarland
Paul Spadafora
Pete Herman
Philadelphia Jack OBrien
Ray Mancini
Ray Mercer
Riddick Bowe
Rocky Graziano
Ron Lyle
Sammy Angott
Sandy Saddler
Shannon Briggs
Stanley Ketchel
Stevie Johnston
Terry McGovern
Tiger Flowers
Timothy Bradley
Tommy Morrison
Tommy Ryan
Tony Canzoneri
Tony Zale
Vanes Martirosyan
Wayne McCullough
Wesley Mouzon
William Abelyan
Willie Pep
