Adam Scott
Angel Cabrera
Arnold Palmer
Art Wall Jr
Ben Crenshaw
Ben Hogan
Bernhard Langer
Billy Casper
Bob Goalby
Bubba Watson
Byron Nelson
Cary Middlecoff
Charl Schwartzel
Charles Coody
Claude Harmon
Craig Stadler
Craig Wood
Danny Willett
Doug Ford
Fred Couples
Fuzzy Zoeller
Gary Player
Gay Brewer
Gene Sarazen
George Archer
Henry Picard
Herman Keiser
Horton Smith
Ian Woosnam
Jack Burke Jr
Jack Nicklaus
Jimmy Demaret
Jordan Spieth
Jose Maria Olazabal
Larry Mize
Mark O’Meara
Mike Weir
Nick Faldo
Patrick Reed
Phil Mickelson
Ralph Guldahl
Raymond Floyd
Sam Snead
Sandy Lyle
Sergio Garcia
Seve Ballesteros
Tiger Woods
Tom Watson
Tommy Aaron
Trevor Immelman
Vijay Singh
Zach Johnson
