Abraham Maslow
Albert Bandura
Albert Ellis
Alfred Adler
Alfred Binet
Amos Tversky
Anna Freud
B F Skinner
Carl Rogers
Clark L Hull
Daniel Kahneman
David McClelland
Edward Thorndike
Elizabeth Loftus
Erich Fromm
Erik Erikson
G Stanley Hall
Gordon Allport
Hans Eysenck
Harry Harlow
Herbert a Simon
Howard Gardner
Hugo Munsterberg
Ivan Pavlov
Jean Piaget
Jerome Bruner
Jerome Kagan
John Bowlby
John Dewey
John Watson
Karen Horney
Kurt Lewin
Lawrence Kohlberg
Leon Festinger
Lev Vygotsky
Martin Seligman
Mary Ainsworth
Mary Whiton Calkins
Melanie Klein
Paul Ekman
Philip Zimbardo
Raymond Cattell
Robert Sternberg
Sigmund Freud
Solomon Asch
Stanley Milgram
Steven Pinker
Viktor Frankl
Walter Mischel
Wilhelm Wundt
William James
