Alan Shearer
Alejandro Da Silva
Alex Ferguson
Alex McLeish
Alex Monteiro De Lima
Alexander Hleb
Alfie Conn Sr
Ali Karimi
Alper Balaban
Andrew Cole
Andy Gray
Antoine Sibierski
Antonio Puerta
Arthur Melmoth Walters
Baichung Bhutia
Benni McCarthy
Bobby Moore
Brendan Fevola
Chick Henderson
Chris Mainwaring
Claude Makelele
Colin Hendry
Craig Charles
Danny Cipriani
Darren Byfield
Darren Fletcher
David Beckham
David Ginola
Diego Maradona
Diego Simeone
Dieter Seeler
Dietmar Hamann
Dion Dublin
Djibril Cisse
Drazan Jerkovic
Duncan Edwards
Eric Cantona
Ernie Barnes
Eudy Simelane
Ferenc Puskas
Fernelly Castillo
Franz Beckenbauer
Gary Neville
George Best
Gorden Tallis
Gordon Banks
Graeme Le Saux
Hank Baskett
Harry Redknapp
Hidetoshi Nakata
Hristo Stoichkov
Ian Roberts
Ian Wright
Ibrahim Dossey
James Jackson Jr
Jamie Redknapp
Jason Bell
Jim Young
Johan Cruijff
John Bain
John Barnes
John Drake
John Fashanu
John Hartson
John Salthouse
John Veitch
Justin Fashanu
Ken Tucker
Kevin Keegan
Kevin Turner
Kyriakos Papadopoulos
Lei Clijsters
Luis Figo
MC Harvey
Maksym Pashayev
Marcel Desailly
Marcelo Salas
Michael Ballack
Michael Chopra
Michael Owen
Mike Fitzpatrick
Milene Domingues
Miles Austin
Nat Lofthouse
Neil Lennon
Nicolas Anelka
Norman Creek
Nwankwo Kanu
Owen Coyle
Owen Hargreaves
Paris Jackson
Patrick Vieira
Paul Merson
Paul Scholes
Pele
Peter Bell
Peter Burgstaller
R Cunliffe Gosling
Rafael Marquez
Ray Ranson
Reggie Bush
Reuben Noble Lazarus
Reuben NobleLazarus
Reza Haghighi
Robbie Savage
Roy Keane
Ryuzo Hiraki
Sir Stanley Matthews
Sol Campbell
Stan Reid
Steve Bruce
Steve Claridge
Thierry Henry
Tony Romo
Vinnie Jones
Vyacheslav Malafeev
Wayne Rooney
William Bromley Davenport
William BromleyDavenport
Yann Soloy
Zinedine Zidane
Zoltan Peto
